Order,Year,No.,Title,Art,Text,Schedule,Schedule_Name,Link,Part_Number,Part_Title
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Citation and commencement,1,['This Order may be cited as the Awel y Mor Offshore Wind Farm Order 2023 and comes into force on 11th October 2023.'],,,https://www.legislation.gov.uk/uksi/2023/1033/article/1/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Interpretation,2,"['In this order-', '""1961 Act"" means the Land Compensation Act 1961;', '""1965 Act"" means the Compulsory Purchase Act 1965;', '""1980 Act"" means the Highways Act 1980;', '""1981 Act"" means the Compulsory Purchase (Vesting Declarations) Act 1981;', '""1989 Act"" means the Electricity Act 1989;', '""1990 Act"" means the Town and Country Planning Act 1990;', '""1991 Act"" means the New Roads and Street Works Act 1991;', '""2003 Act"" means the Communications Act 2003;', '""2004 Act"" means the Energy Act 2004;', '""2008 Act"" means the Planning Act 2008;', '""2009 Act"" means the Marine and Coastal Access Act 2009;', '""address"" includes any number or address used for the purposes of electronic transmission;', '""ancillary works"" means the ancillary works described in Part 2 of Schedule 1 (ancillary works) and any other works authorised by this Order that are not development within the meaning of section 32 of the 2008 Act;', '""apparatus"" has the same meaning as in section 105(1) of the 1991 Act;', '""authorised development"" means the development and associated development described in Part 1 of Schedule 1 (authorised development) and any other development authorised by this Order that is development within the meaning of section 32 of the 2008 Act;', '""authorised project"" means the authorised development and the ancillary works authorised by this Order;', '""bank holiday"" means a bank holiday in England and Wales under section 1 of the Banking and Financial Dealings Act 1971;', '""book of reference"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""building"" includes any structure or erection or any part of a building, structure or erection;', '""buoy"" means any floating device used for navigational purposes or measurement purposes, including wave buoys, LiDAR and guard buoys;', '""business day"" means a day other than a Saturday or Sunday or a bank holiday in England and Wales;', '""cable"" means up to 400kV cables for the transmission of electricity and includes direct lay cables, cables laid in cable ducts or protective covers, and further includes fibre optic and other communications cables either within the cable or laid alongside;', '""cable circuits"" means a number of electrical conductors necessary to transmit electricity between two points within the authorised development comprising up to three electrical conductors, which may be attached together or take the form of single cables, and in either case the circuit may include one or more auxiliary cables for the purpose of control, monitoring, protection or general communications;', '""cable crossings"" means the crossing of existing sub-sea cables, pipelines or other existing infrastructure by the cables authorised by this Order together with cable protection;', '""cable ducts"" means conduits for the installation of cables;', '""cable protection"" means measures to protect cables from physical damage including but not limited to concrete mattresses, with or without frond devices, and/or rock placement, the use of bagged solutions filled with grout or other materials, protective aprons or coverings, mattresses, flow energy dissipation devices and rock and gravel burial;', '""carriageway"" has the same meaning as in the 1980 Act;', '""commence"" means carry out a material operation, as defined in section 155 of the 2008 Act comprised in or for the purposes of the authorised development other than onshore works comprising surveying or investigatory works including archaeological investigations, environmental surveys, investigations for the purpose of assessing ground conditions; preparatory works to existing infrastructure and diversion and laying of utilities and services; creation of any temporary means of access; site clearance including vegetation clearance; erection of screening and fencing, site security works, creation of temporary hard standing, or the temporary display of site notices or advertisements, and ""commencement"", ""commenced"" and cognate expressions are to be construed accordingly;', '""Defence Infrastructure Organisation Safeguarding"" means Ministry of Defence Safeguarding, Defence Infrastructure Organisation - Safeguarding, St George\'s House, DIO Head Office, DMS Whittington, Lichfield, Staffordshire, WS14 9PY and any successor body to its functions;', '""design principles document"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""electronic transmission"" means a communication transmitted-', 'by means of an electronic communications network; or', 'by other means but while in electronic form;', '""environmental statement"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""foundation"" means any of: a monopile, multi-leg pin-piled jacket, mono suction caisson, multi-leg suction caisson jacket, mono gravity based system or multi-leg gravity based system jacket;', '""gravity base foundation"" means a structure principally of steel, concrete, or steel and concrete with a base which rests on the seabed either due to its own weight with or without added ballast or additional skirts and associated equipment including scour protection, J-tubes, corrosion protection systems and access platforms and equipment;', '""hedgerow and protected tree plan"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""highway"" has the same meaning as in section 328(1) of the 1980 Act;', '""highway authority"" means in relation to the A55, the Welsh Ministers, and in relation to any other highway Denbighshire County Council;', '""horizontal directional drilling"" means a trenchless boring technique for installing cables, cable ducts and other associated apparatus involving drilling in an arc between two points;', '""HVAC"" means high voltage alternating current;', '""inter-array cables"" means the cables linking the wind turbine generators to each other and to the other offshore works;', '""jacket foundation"" means a steel jacket/lattice-type structure constructed of steel, fixed to the seabed with steel pin piles or steel suction buckets and associated equipment including scour protection, J-tubes, corrosion protection systems and access platforms and equipment;', '""joint bay"" means an excavation formed to enable the jointing of the cables;', '""jointing"" means a process by which two or more cables are connected to each other by means of cable joints within a joint bay;', '""landfall"" means the location at which the offshore cables come ashore;', '""land plans"" means the documents certified as the \'land plan (offshore)\' and \'land plan (onshore)\' by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""LiDAR"" means a light detection and ranging system used to measure weather and sea conditions;', '""location plan"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""m"" means metres and ""m2"" means square metres;', '""maintain"" includes inspect, repair, adjust or alter the authorised development, and remove, reconstruct or replace any part, provided that such works do not give rise to any materially new or materially different environmental effects to those identified in the environmental statement and any derivative of ""maintain"" is to be construed accordingly;', '""mean high water springs"" or ""MHWS"" means the highest level which spring tides reach on average over a period of time;', '""mean low water springs"" or ""MLWS"" means the average height of all low waters above Chart Datum;', '""meteorological mast"" means an offshore mast housing equipment to measure wind speed and other wind characteristics, including a topside housing electrical, communication and associated equipment and marking and lighting;', '""monopile foundation"" means a steel or concrete pile, driven and/or drilled into the seabed and associated equipment including scour protection, J-tubes, corrosion protection systems and access platforms and equipment;', '""offshore electrical platform"" means a platform with one or more decks, whether open or fully clad, accommodating electrical power transformers, low, medium and/or high voltage switch gear, instrumentation, protection and control systems, neutral earthing resistors, reactive compensation, standby electrical generation equipment, fuelling facilities, surface water drainage system, auxiliary and uninterruptible power supply systems and transformers, accommodation, emergency shelter, craneage, metering stations, meteorological equipment, helicopter landing facilities, messing facilities, potable water storage, black water separation equipment, control hub, drainage facilities, access equipment, J-tubes, marking and lighting and other associated equipment and facilities to enable the transmission of electronic communications and for electricity to be collected at, and exported from, the platform;', '""offshore works"" means Work Nos. 1, 1A, 2 and 2A and any related further associated development in connection with those Works;', '""onshore works"" means Work Nos. 3 to 41 inclusive and any related further associated development in connection with those Works;', '""onshore WSI"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""Order land"" means the land shown on the land plans which is within the limits of land to be acquired or used and described in the book of reference;', '""Order limits"" means the limits shown on the works plan within which the authorised development may be carried out whose grid coordinates seaward of MHWS are set out at Table 1 in Part 1 of Schedule 1 (authorised development) of this Order;', '""outline code of construction practice"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""outline drainage strategy"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""outline landscape and ecology management plan"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""outline skills and employment strategy"" means the document certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""owner"", in relation to land, has the same meaning as in section 7 of the Acquisition of Land Act 1981;', '""pin piles"" means steel or concrete cylindrical piles driven and/or drilled into the seabed to secure steel jacket foundations;', '""platforms"" means the offshore structures housing or incorporating electrical equipment such as switchgear and transformers and high voltage reactive controls, electrical systems such as metering and control systems, J-tubes, landing facilities for vessels and helicopters, re-fuelling facilities, vessel charging facilities, communication and control systems, auxiliary and uninterruptible power supplies, energy storage systems, standby electricity generation equipment, cranes, storage for waste and consumables including fuel, marking and lighting and other associated equipment and facilities;', '""relevant planning authority"" means Denbighshire County Council;', '""requirements"" means those matters set out in Part 1 of Schedule 2 (requirements) to this Order;', '""scour protection"" means measures to prevent loss of seabed sediment around any marine structure placed in or on the seabed by use of protective aprons, mattresses with or without frond devices, or rock and gravel placement;', '""special category land plan"" means the plan certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""statutory undertaker"" means any person falling within section 127(8) of the 2008 Act and a public communications provider as defined in section 151 of the 2003 Act;', '""street"" means a street within the meaning of section 48 of the 1991 Act, together with land on the verge of a street or between two carriageways, and includes part of a street;', '""street authority"", in relation to a street, has the same meaning as in Part 3 of the 1991 Act;', '""street works and access plan"" means the plan certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""substation"" means in relation to the onshore works an HVAC substation compound sited at Bodelwyddan containing electrical equipment (including power transformers, gantries, switchgear, reactive compensation equipment, electrical protection equipment devices (disconnectors, circuit breakers), cooling, harmonic filters, cables and back-up generators), control buildings, lightning protection masts, communications masts, access including internal roads, fencing and other associated equipment, structures or buildings;', '""suction caisson foundation"" means a tubular steel structure which partially or fully penetrates the seabed and associated equipment, including scour protection, J-tubes, corrosion protection systems and access platforms and equipment;', '""temporary mitigation area"" means land in which temporary mitigation will be undertaken as identified on the works plan and described in the outline landscape and ecology management plan;', '""temporary stopping up of public rights of way plan"" means the plan certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order;', '""trenchless installation technique compound"" means a construction site associated with the cable or cable circuit works where horizontal directional drilling or other trenchless construction technique is proposed including hard standings, lay down and storage areas for construction materials and equipment, areas for spoil, areas for vehicular parking, bunded storage areas, areas comprising water and bentonite tanks, pumps and pipes, areas for welfare facilities including offices and canteen and washroom facilities, wheel washing facilities, workshop facilities and temporary fencing or other means of enclosure and areas for other facilities required for construction purposes;', '""trenchless installation techniques"" means the installation of electrical circuits and/or cables by means of boring techniques for installing cable ducts including horizontal directional drilling, pipe jacking/horizontal auger boring and micro-boring;', '""Trinity House"" means the Corporation of Trinity House of Deptford Strond;', '""undertaker"" means Awel y Mor Offshore Windfarm Limited, incorporated under company number 12270928 and having its registered office at Windmill Hill Business Park, Whitehill Way, Swindon, Wiltshire, United Kingdom, SN5 6PB;', '""vessel"" means every description of vessel, however propelled or moved, and includes a non-displacement craft, a personal watercraft, a seaplane on the surface of the water, a hydrofoil vessel, a hovercraft or any other amphibious vehicle and any other thing constructed or adapted for movement through, in, on or over water and which is at the time in, on or over water;', '""watercourse"" includes all rivers, streams, creeks, ditches, drains, canals, cuts, culverts, dykes, sluices, sewers and passages through which water flows except a public sewer or drain;', '""wind turbine generator"" means a structure comprising a tower, rotor with three blades connected at the hub, nacelle and ancillary electrical and other equipment which may include J-tube(s), transition piece, access and rest platforms, access ladders, boat access systems, corrosion protection systems, fenders and maintenance equipment, helicopter landing facilities and other associated equipment including communications equipment, fixed to a foundation or transition piece; and', '""works plan"" means the plan or plans certified as such by the Secretary of State under article 40 (certification of plans, etc.) for the purposes of this Order.', 'References in this Order to rights over land include references to rights to do or to place and maintain, anything in, on or under land or in the airspace above its surface and references in this Order to the imposition of restrictive covenants are references to the creation of rights over land which interfere with the interests or rights of another and are for the benefit of land which is acquired under this Order or is otherwise comprised in the Order land.', 'All distances, directions, areas and lengths referred to in this Order are approximate and distances between points on a work comprised in the authorised development are taken to be measured along that work.', 'For the purposes of this Order, all areas described in square metres in the book of reference are approximate.', 'References in this Order to points identified by letters or numbers are to be construed as references to points so lettered or numbered on the relevant plans.', 'References in this Order to numbered works are references to the works as numbered in Part 1 of Schedule 1 (authorised development).']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Development consent etc. granted by the Order,3,"['Subject to the provisions of this Order and to the requirements the undertaker is granted-', 'development consent for the authorised development; and', 'consent for the ancillary works; to be carried out within the Order limits.', 'Subject to the requirements, the offshore works must be constructed within the Order limits seaward of MLWS and the onshore works must be constructed within the Order limits landward of MLWS.', 'No provision of this Order relieves the undertaker of any requirement to obtain any further licence under Part 4 of the 2009 Act (marine licensing) before commencement of the authorised development, or to comply with the conditions of any marine licence(s), and nothing in this Order in any way limits the enforcement powers in respect of a marine licence(s) under Part 4 of the 2009 Act.', 'In the event of any inconsistency between the provisions of this Order and a marine licence, then the terms of the marine licence will take precedence.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/3/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Operation of generating station,4,"['The undertaker is authorised to use and operate the authorised development for whichdevelopment consent is granted by this Order.', 'Paragraph (1) does not relieve the undertaker of any requirement to obtain any permit orlicence under any legislation that may be required from time to time to authorise the operation ofthe authorised development.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/4/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Power to maintain the authorised development,5,"['Subject to paragraph (2), the undertaker may at any time maintain the authorised development, except to the extent that this Order or an agreement made under this Order provides otherwise.', 'The power to maintain conferred under paragraph (1) does not relieve the undertaker of any requirement to obtain any further licence under Part 4 (marine licensing) of the 2009 Act for the offshore works.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/5/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Benefit of the Order,6,"['Subject to this article, the provisions of this Order have effect solely for the benefit of the undertaker.', 'Subject to paragraph (3), the undertaker may with the written consent of the Secretary of State-', 'transfer to another person (the ""transferee"") any or all of the benefit of the provisions of this Order and such related statutory rights as may be agreed between the undertaker and the transferee; and', 'grant to another person (the ""lessee"") for a period agreed between the undertaker and the lessee any or all of the benefit of the provisions of this Order and such related statutory rights as may be so agreed except where paragraph (8) applies, in which case the consent of the Secretary of State is not required.', 'Where an agreement has been made in accordance with paragraph (2) references in this Order to the undertaker, will include references to the transferee or lessee.', 'The undertaker must consult the Secretary of State before making an application for consent under this article by giving notice in writing of the proposed application.', 'Where the undertaker has transferred any benefit, or for the duration of any period during which the undertaker has granted any benefit, under paragraph (1).', 'the benefit transferred or granted (""the transferred benefit"") includes any rights that are conferred, and any obligations that are imposed, by virtue of the provisions to which the benefit relates;', 'the transferred benefit resides exclusively with the transferee or, as the case may be, the lessee and the transferred benefit is not enforceable against the undertaker; and', 'the exercise by a person of any benefits or rights conferred in accordance with any transfer or grant under paragraph (1) is subject to the same restrictions, liabilities and obligations as would apply under this Order if those benefits or rights were exercised by the undertaker.', 'The consent of the Secretary of State is required for the exercise of powers under paragraph (2) except where-', 'the transferee or lessee is the holder of a licence under section 6 (licences authorising supply, etc.) of the 1989 Act; or', 'the time limits for claims for compensation in respect of the acquisition of land or effects upon land under this Order have elapsed and-', 'no such claims have been made;', 'any such claim has been made and has been compromised or withdrawn;', 'compensation has been paid in final settlement of any such claim;', 'payment of compensation into court has taken place in lieu of settlement of any such claim; or', 'it has been determined by a tribunal or court of competent jurisdiction in respect of any such claim that no compensation is payable.', 'Prior to any transfer or grant under this article taking effect, whether or not the consent of the Secretary of State is required, the undertaker must give notice in writing to the Secretary of State, and if such transfer or grant relates to the exercise of powers in their area, to the relevant planning authority.', 'The notice required under paragraphs (4) and (7) must-', 'state-', 'the name and contact details of the person to whom the benefit of the provisions will be transferred or granted;', 'subject to paragraph (9), the date on which the transfer will take effect;', 'the provisions to be transferred or granted;', 'the restrictions, liabilities and obligations that, in accordance with paragraph (5)(c), will apply to the person exercising the powers transferred or granted; and', 'where paragraph (6) does not apply, confirmation of the availability and adequacy of funds for compensation associated with the compulsory acquisition of the Order land.', 'be accompanied by-', 'where relevant, a plan showing the works or areas to which the transfer or grant relates; and', 'a copy of the document effecting the transfer or grant signed by the undertaker and the person to whom the benefit of the powers will be transferred or granted.', 'The date specified under paragraph (8)(a)(ii) in respect of a notice served in respect of paragraph (7) must not be earlier than the expiry of fourteen days from the date of the receipt of the notice.', 'The notice given under paragraph (7) must be signed by the undertaker and the person to whom the benefit of the powers will be transferred or granted as specified in that notice.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/6/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Application and modification of legislative provisions,7,"['The following enactments do not apply in relation to the construction of any work or the carrying out of any operation for the purpose of or in connection with, the construction of the authorised development or any maintenance of any part of the authorised development-', 'the provisions of any byelaws made under, or having effect as if made under, paragraphs 5, 6 or 6A of Schedule 25 (byelaw making powers of the authority) to the Water Resources Act 1991;', 'the provisions of any byelaws made under section 66 (powers to make byelaws) of the Land Drainage Act 1991;', 'sections 23 (prohibition on obstructions etc. in watercourses) and 30 (authorisation of drainage works in connection with a ditch) of the Land Drainage Act 1991; and', 'the provisions of the Neighbourhood Planning Act 2017 in so far as they relate to the temporary possession of land under articles 27 (temporary use of land for carrying out the authorised development) and 28 (temporary use of land for maintaining the authorised development) of this Order.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/7/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Defence to proceedings in respect of statutory nuisance,8,"['Where proceedings are brought under section 82(1) (summary proceedings by persons aggrieved by statutory nuisances) of the Environmental Protection Act 1990 in relation to a nuisance falling within paragraphs (d), (fb), (g) and (ga) of section 79(1) (statutory nuisances and inspections therefor) of that Act no order is to be made, and no fine may be imposed, under section 82(2) of that Act if the defendant shows that the nuisance-', 'relates to premises used by the undertaker for the purposes of or in connection with the construction or maintenance of the authorised development and is attributable to the carrying out of the authorised development in accordance with a notice served under section 60 (control of noise on construction sites), or a consent given under section 61 (prior consent for work on construction sites), of the Control of Pollution Act 1974;', 'is a consequence of the construction or maintenance of the authorised development and cannot reasonably be avoided; or', 'is a consequence of the use of the authorised development and cannot reasonably be avoided.', 'Section 61(9) (consent for work on construction site) of the Control of Pollution Act 1974 does not apply where the consent relates to the use of premises by the undertaker for the purposes of or in connection with the construction or maintenance of the authorised development.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/8/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Street works,9,"['The undertaker may, for the purposes of the authorised development, enter on so much of anyof the streets specified in Schedule 3 (streets subject to street works) as is within the Order limits and may-', 'break up or open the street, or any sewer, drain or tunnel under it;', 'tunnel or bore under the street;', 'place apparatus under the street;', 'maintain apparatus under the street or change its position; and', 'execute any works required for or incidental to any works referred to in sub-paragraphs (a) to (d).', 'The authority given by paragraph (1) is a statutory right for the purposes of sections 48(3) (streets, street works and undertakers) and 51(1) (prohibition of unauthorised street works) of the 1991 Act.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/9/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Application of the 1991 Act,10,"['The provisions of the 1991 Act mentioned in paragraph (2) that apply in relation to the carrying out of street works under that Act and any regulations made or code of practice issued or approved under those provisions apply (with all necessary modifications) in relation to-', 'the carrying out of works under article 9 (street works); and', 'the temporary stopping up, temporary alteration or temporary diversion of a street by the undertaker under article 12 (temporary restriction of use of streets);', 'whether or not the carrying out of the works or the stopping up, alteration or diversion constitutes street works within the meaning of that Act.', 'The provisions of the 1991 Act are-', 'subject to paragraph (3), section 55 (notice of starting date of works);', 'section 57 (notice of emergency works);', 'section 60 (general duty of undertakers to co-operate);', 'section 68 (facilities to be afforded to street authority);', 'section 69 (works likely to affect other apparatus in the street);', 'section 76 (liability for cost of temporary traffic regulation);', 'section 77 (liability for cost of use of alternative route); and', 'all provisions of that Act that apply for the purposes of the provisions referred to in sub-paragraphs (a) to (g).', 'Section 55 of the 1991 Act as applied by paragraph (2) has effect as if references in section 57 of that Act to emergency works included a reference to a stopping up, alteration or diversion (as the case may be) required in a case of emergency.', 'The following provisions of the 1991 Act do not apply in relation to any works executed under the powers conferred by this Order-', 'section 56 (power to give directions as to timing of street works);', 'section 56A (power to give directions as to placing of apparatus);', 'section 58 (restriction on works following substantial road works);', 'section 58A (restriction on works following substantial street works);', 'section 61 (protected streets); and', 'schedule 3A (restriction on works following substantial street works).']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/10/made,,
